Category,Variable Name,Unit,MIMIC-IV Missing (%),eICU-CRD Missing (%),MIMIC-IV Source (Table / Item),eICU-CRD Source (Table / Item),Definition / Processing
Demographics & Comorbidities,Sex [gender],binary (0/1),0,0,mimiciv_hosp.patients / gender,eicu_derived.icustay_detail / gender,"Binary coding aligned across cohorts (Male=1, Female=0)."
Demographics & Comorbidities,Age [admission_age],years,0,0,"mimiciv_hosp.patients / (anchor_age, anchor_year) -> derived at ICU intime",eicu_derived.icustay_detail / age,"In eICU, age '> 89' was recoded to 90 before alignment."
Demographics & Comorbidities,Weight [weight_admit],kg,0,3,mimiciv_derived.first_day_weight / weight,eicu_derived.icustay_detail / admissionweight,
Demographics & Comorbidities,CHF [heart_failure],binary (0/1),0,0,mimiciv_hosp.diagnoses_icd / ICD-9 428* or ICD-10 I50*,eicu_crd.diagnosis / diagnosisstring pattern (CHF/heart failure),Binary indicator from diagnosis-pattern mapping; harmonized to 0/1.
Demographics & Comorbidities,CKD [chronic_kidney_disease],binary (0/1),0,0,mimiciv_hosp.diagnoses_icd / ICD-9 585* or ICD-10 N18*,eicu_crd.diagnosis / diagnosisstring pattern (CKD/ESRD),Binary indicator from diagnosis-pattern mapping; harmonized to 0/1.
Demographics & Comorbidities,Malignancy [malignant_tumor],binary (0/1),0,0,mimiciv_hosp.diagnoses_icd / ICD-9 14*/15* or ICD-10 C*,eicu_crd.diagnosis / diagnosisstring pattern (malignant/cancer),Binary indicator from diagnosis-pattern mapping; harmonized to 0/1.
Vital Signs,SpO2 (min) [spo2_min],%,0,20.4,mimiciv_icu.chartevents / itemid 220277 (SpO2),eicu_derived.pivoted_vital / spo2,
Vital Signs,SpO2 (max) [spo2_max],%,0,20,mimiciv_icu.chartevents / itemid 220277 (SpO2),eicu_derived.pivoted_vital / spo2,
Vital Signs,SpO2 slope [spo2_slope],% per hour,0,20,mimiciv_icu.chartevents / itemid 220277 (SpO2 trend 0-24h),eicu_derived.pivoted_vital / spo2 trend (0-24h),
Laboratory Measurements,WBC (min) [wbc_min],×10⁹/L,0,5.8,mimiciv_derived.first_day_lab / wbc_min,eicu_crd.lab / WBC,
Laboratory Measurements,WBC (max) [wbc_max],×10⁹/L,0,6.1,mimiciv_derived.first_day_lab / wbc_max,eicu_crd.lab / WBC,
Laboratory Measurements,Hct (min) [hematocrit_min],%,0,100,mimiciv_derived.first_day_lab / hematocrit_min,eicu_crd.lab / Hct,Variable not explicitly retained in eICU raw-scale export; missingness shown as 100%.
Laboratory Measurements,Hct (max) [hematocrit_max],%,0,100,mimiciv_derived.first_day_lab / hematocrit_max,eicu_crd.lab / Hct,Variable not explicitly retained in eICU raw-scale export; missingness shown as 100%.
Laboratory Measurements,Hgb (min) [hemoglobin_min],g/dL,0,6.5,mimiciv_derived.first_day_lab / hemoglobin_min,eicu_crd.lab / Hgb,
Laboratory Measurements,Hgb (max) [hemoglobin_max],g/dL,0,100,mimiciv_derived.first_day_lab / hemoglobin_max,eicu_crd.lab / Hgb,Variable not explicitly retained in eICU raw-scale export; missingness shown as 100%.
Laboratory Measurements,Plt (min) [platelets_min],×10⁹/L,0,7.3,mimiciv_derived.first_day_lab / platelets_min,eicu_crd.lab / platelets x 1000,
Laboratory Measurements,Plt (max) [platelets_max],×10⁹/L,0,100,mimiciv_derived.first_day_lab / platelets_max,eicu_crd.lab / platelets x 1000,Variable not explicitly retained in eICU raw-scale export; missingness shown as 100%.
Laboratory Measurements,Alb (min) [albumin_min],g/dL,0,20.5,mimiciv_derived.first_day_lab / albumin_min,eicu_crd.lab / albumin,eICU albumin values in g/L were converted to g/dL when needed.
Laboratory Measurements,Alb (max) [albumin_max],g/dL,0,20.5,mimiciv_derived.first_day_lab / albumin_max,eicu_crd.lab / albumin,eICU albumin values in g/L were converted to g/dL when needed.
Laboratory Measurements,AG (min) [aniongap_min],mmol/L,0,18.6,mimiciv_derived.first_day_lab / aniongap_min,eicu_crd.lab / anion gap,
Laboratory Measurements,AG (max) [aniongap_max],mmol/L,0,100,mimiciv_derived.first_day_lab / aniongap_max,eicu_crd.lab / anion gap,Variable not explicitly retained in eICU raw-scale export; missingness shown as 100%.
Laboratory Measurements,HCO3 (min) [bicarbonate_min],mmol/L,0,3.6,mimiciv_derived.first_day_lab / bicarbonate_min,eicu_crd.lab / bicarbonate,
Laboratory Measurements,HCO3 (max) [bicarbonate_max],mmol/L,0,100,mimiciv_derived.first_day_lab / bicarbonate_max,eicu_crd.lab / bicarbonate,Variable not explicitly retained in eICU raw-scale export; missingness shown as 100%.
Laboratory Measurements,BUN (min) [bun_min],mg/dL,0,1.1,mimiciv_derived.first_day_lab / bun_min,eicu_crd.lab / BUN,
Laboratory Measurements,BUN (max) [bun_max],mg/dL,0,1.1,mimiciv_derived.first_day_lab / bun_max,eicu_crd.lab / BUN,
Laboratory Measurements,Ca (min) [lab_calcium_min],mg/dL,0,3.1,mimiciv_derived.first_day_lab / lab_calcium_min,eicu_crd.lab / calcium,
Laboratory Measurements,Ca (max) [calcium_max],mg/dL,0,3.1,mimiciv_derived.first_day_lab / calcium_max,eicu_crd.lab / calcium,
